ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6,recommendation7,recommendation8,recommendation9,recommendation10,recommendation11,recommendation12,recommendation13,recommendation14,recommendation15,recommendation16,recommendation17,recommendation18,recommendation19,recommendation20,recommendation21,recommendation22,recommendation23,recommendation24,recommendation25,recommendation26,recommendation27,recommendation28
221107,Pandemic Legacy: Season 2,2017,40,8.11,7.788,13581,/boardgame/221107/pandemic-legacy-season-2,https://cf.geekdo-images.com/Qtkb-UTvHa0-kxt_MK1nKw__micro/img/eYV_Y45Hk66WceHroLlRqnHEHmg=/fit-in/64x64/filters:strip_icc()/pic3763549.jpg,161936,314040,239188,146508,2511,224037,266507,198928,259081,197376,245655,302723,195421,171131,30549,255984,150376,279537,162886,209778,174430,180263,181304,209010,136063,300300,328908,218074
205059,Mansions of Madness: Second Edition,2016,41,8.03,7.787,28337,/boardgame/205059/mansions-madness-second-edition,https://cf.geekdo-images.com/LIooA9bTdjnE9qmhjL-UFw__micro/img/rsUu4YzIErI1oi6TRRA-cKiS-I0=/fit-in/64x64/filters:strip_icc()/pic3118622.jpg,146021,257499,269385,340466,193037,167355,,,,,,,,,,,,,,,,,,,,,,
246900,Eclipse: Second Dawn for the Galaxy,2020,42,8.68,7.778,5213,/boardgame/246900/eclipse-second-dawn-galaxy,https://cf.geekdo-images.com/Oh3kHw6lweg6ru71Q16h2Q__micro/img/vhB59zFDq3Kul0xbr3api2selZs=/fit-in/64x64/filters:strip_icc()/pic5235277.jpg,233078,169786,297562,237182,205896,285967,,,,,,,,,,,,,,,,,,,,,,
284083,The Crew: The Quest for Planet Nine,2019,43,7.97,7.776,24498,/boardgame/284083/crew-quest-planet-nine,https://cf.geekdo-images.com/98LnQShydr11OBKS46xY-Q__micro/img/bIVTqYzQ5wDuCSmcQvpNokXZOUo=/fit-in/64x64/filters:strip_icc()/pic5687013.jpg,324856,254640,98778,178900,129622,225694,,,,,,,,,,,,,,,,,,,,,,
251247,Barrage,2019,44,8.22,7.772,9326,/boardgame/251247/barrage,https://cf.geekdo-images.com/jEPmWvvYpqkWrKOzqIHFsg__micro/img/Uwm0ZfmY4ZNWWxlackDXrsmS-Io=/fit-in/64x64/filters:strip_icc()/pic4336469.png,310873,220308,224517,125153,193738,317985,229853,184267,161533,341169,276025,284378,383179,359438,364011,177736,126163,247763,216132,283948,167791,120677,308765,163068,182028,175640,311193,185343
247763,Underwater Cities,2018,45,8.1,7.766,12651,/boardgame/247763/underwater-cities,https://cf.geekdo-images.com/PwOwTVHovJAUQgghnGqCOg__micro/img/9ftDcGDumAWKm_3hmu6JUwjb1aU=/fit-in/64x64/filters:strip_icc()/pic4837710.png,265188,308765,229853,311193,276025,228341,250458,304420,266810,164928,310873,182874,343905,262215,300322,298383,342942,297030,193738,359438,355093,296151,163068,332772,126163,220877,351913,364011
185343,Anachrony,2017,46,8.11,7.756,13249,/boardgame/185343/anachrony,https://cf.geekdo-images.com/31quLNzteInnevVRAABoow__micro/img/CMEokoPk9cBV5A82_eBwjDJPMfE=/fit-in/64x64/filters:strip_icc()/pic3499707.jpg,276025,317985,342942,220308,286096,177736,167791,169786,341169,316554,229853,247763,236457,231733,183394,163068,102794,224517,193738,312484,266810,251247,216132,233398,142379,184267,126163,310873
126163,Tzolk'in: The Mayan Calendar,2012,47,7.89,7.742,33111,/boardgame/126163/tzolk-mayan-calendar,https://cf.geekdo-images.com/kXf7mDyDYuHg6oe8yTUIEA__micro/img/3EqJtoxAlTb2pJWxmA7TUu4HWNI=/fit-in/64x64/filters:strip_icc()/pic4604439.jpg,193738,216132,171623,229853,164928,102794,,,,,,,,,,,,,,,,,,,,,,
2651,Power Grid,2004,48,7.84,7.74,58488,/boardgame/2651/power-grid,https://cf.geekdo-images.com/yd6LuatytHRhcFCxCf-EEg__micro/img/ZUrGKfXAZS4AztFRXq2W9oD6TG4=/fit-in/64x64/filters:strip_icc()/pic4459753.jpg,31260,3076,124361,43015,120677,122515,35677,18602,28720,93,27833,19857,84876,193738,28143,144733,73439,5,126163,31481,36218,102794,182028,68448,62219,25613,148949,31594
55690,Kingdom Death: Monster,2015,49,8.61,7.737,8038,/boardgame/55690/kingdom-death-monster,https://cf.geekdo-images.com/LenzJBOHboAGU0cUIqAZPQ__micro/img/6YI32BDhyuO9JZrofc1CPbuFlVY=/fit-in/64x64/filters:strip_icc()/pic2931007.jpg,251661,169427,242705,280794,295770,312859,174430,264220,325494,180263,273910,262211,192135,322656,295785,322708,281526,257518,310100,96848,207243,170771,209010,284121,219217,342372,167355,253344
180263,The 7th Continent,2017,50,8.05,7.735,18727,/boardgame/180263/7th-continent,https://cf.geekdo-images.com/OYne8uBCHv5oEgRfpOrV0A__micro/img/8IGVzvGADTyV8kjaMNw-VCBL4TY=/fit-in/64x64/filters:strip_icc()/pic2648303.jpg,174430,255984,295770,96848,266507,291457,,,,,,,,,,,,,,,,,,,,,,
256960,Pax Pamir: Second Edition,2019,51,8.36,7.724,6599,/boardgame/256960/pax-pamir-second-edition,https://cf.geekdo-images.com/oSM_AuKYfGIwOtKbVEsoVg__micro/img/SKUliR88eoltB2ytmwz3BffW7aA=/fit-in/64x64/filters:strip_icc()/pic4503733.png,175914,332686,308119,316624,262941,28720,202426,303954,229892,62219,214880,291572,256730,228372,319966,161882,30645,552,350205,13122,145371,182028,337765,198953,237182,128780,63888,249381
216132,Clans of Caledonia,2017,52,7.99,7.723,16655,/boardgame/216132/clans-caledonia,https://cf.geekdo-images.com/SPuwc6RJ6y4PnTH36Pegsg__micro/img/wWI0kOjt4L4TOOV_Dn2BLthq5QQ=/fit-in/64x64/filters:strip_icc()/pic3511783.png,126163,146886,193738,229853,73439,102794,,,,,,,,,,,,,,,,,,,,,,
209010,Mechs vs. Minions,2016,53,8.03,7.722,15067,/boardgame/209010/mechs-vs-minions,https://cf.geekdo-images.com/n4J5LebMj0DQD016qW7ABw__micro/img/n4vvAq2JZvjf0yS_Mugr79dqM90=/fit-in/64x64/filters:strip_icc()/pic3184103.jpg,174430,216734,162886,150376,170216,161936,245655,266507,202408,39463,169786,195421,82222,176920,172287,302723,171131,170416,169426,110327,37046,271055,192457,155624,248490,221194,232405,180263
164153,Star Wars: Imperial Assault,2014,54,8.0,7.72,21729,/boardgame/164153/star-wars-imperial-assault,https://cf.geekdo-images.com/pIQ_MXvaoARRp1loCHJuHg__micro/img/i2soAnlvaDCzWksrpO2By4-GgGA=/fit-in/64x64/filters:strip_icc()/pic2247647.jpg,271896,103885,187645,269385,370913,124708,174430,42776,103886,146652,205359,163602,192153,163745,205059,96848,100423,374173,150376,37111,146439,71721,260428,291457,232918,59946,232405,342848
35677,Le Havre,2008,55,7.87,7.712,27926,/boardgame/35677/le-havre,https://cf.geekdo-images.com/y7Rqd3S6J7vyVhicR1bqTQ__micro/img/c1qPt4uwG4qhjxmrgtIuKulwQkI=/fit-in/64x64/filters:strip_icc()/pic6091101.jpg,124361,193738,73439,126163,102680,159675,70149,122515,203993,144733,172386,171623,120677,216132,143693,164928,102794,144344,127060,2651,39683,146886,182874,220308,229853,104006,31260,177736
184267,On Mars,2020,56,8.26,7.706,7797,/boardgame/184267/mars,https://cf.geekdo-images.com/Nm0Iw8NoiM9V8IsifimGBw__micro/img/HQNReYu8QkZqD4dbZeWg3cQrkv0=/fit-in/64x64/filters:strip_icc()/pic4357658.jpg,284378,125153,237179,163068,161533,175640,,,,,,,,,,,,,,,,,,,,,,
125153,The Gallerist,2015,57,8.06,7.689,11049,/boardgame/125153/gallerist,https://cf.geekdo-images.com/ie1GSt1XV04sXQXt-3O1UQ__micro/img/Zxap2me5W8VgLK_VNU_lY5vLnbA=/fit-in/64x64/filters:strip_icc()/pic2503200.png,161533,184267,284378,175640,310873,251247,,,,,,,,,,,,,,,,,,,,,,
230802,Azul,2017,58,7.8,7.687,62252,/boardgame/230802/azul,https://cf.geekdo-images.com/tz19PfklMdAdjxV9WArraA__micro/img/N7xRslgynWzB3aObMBI9F1yKfQ8=/fit-in/64x64/filters:strip_icc()/pic3718275.jpg,163412,148228,54043,233867,204583,209685,194655,266192,219513,295486,215311,218603,364073,173346,242302,129622,366013,822,15512,158600,184921,70919,245654,191862,274960,271324,281259,293014
72125,Eclipse,2011,59,7.88,7.684,26820,/boardgame/72125/eclipse,https://cf.geekdo-images.com/cnFppsVNOSTJ-W3APQFuTg__micro/img/dfQTNAju5CUxn6JQl-Pxubac99o=/fit-in/64x64/filters:strip_icc()/pic1974056.jpg,37111,31481,127023,40765,105551,25292,,,,,,,,,,,,,,,,,,,,,,
